Ticker,MarketCap
COGT,921214784
APLD,920586240
OCFC,920040576
ALGT,919272512
XPEL,918827200
LQDA,915437312
PHVS,915422080
BASE,911615424
RPAY,910609088
BLFS,910319488
WEST,909641024
